fight_id,event_id,r_fighter_id,b_fighter_id,r_fighter_name,b_fighter_name,weight_class,winner_corner,fight_url
5d8a1daadda47ace,03b1e846b09f721d,1ebe20ebbfa15e29,b76c6268dc1d3c05,Zhang Weili,Danielle Taylor,Women's Strawweight,R,https://www.ufcstats.com/fight-details/5d8a1daadda47ace
65223fa6055df489,03b1e846b09f721d,1ae8f3c723aacff4,a7897d200692ab64,Ricardo Ramos,Kyung Ho Kang,Bantamweight,R,https://www.ufcstats.com/fight-details/65223fa6055df489
866729ea2ceddb25,03b1e846b09f721d,ab2b4ff41d6ebe0f,d2036f31c035e0d1,Alex Perez,Jose Torres,Flyweight,R,https://www.ufcstats.com/fight-details/866729ea2ceddb25
8e971c1ec4b981cc,03b1e846b09f721d,7c7332319c14094c,2296125b6c362355,Marlon Vera,Wulijiburen,Bantamweight,R,https://www.ufcstats.com/fight-details/8e971c1ec4b981cc
c8a9d3917d77ede2,03b1e846b09f721d,6bd02119599741a4,ec52462a1b41f714,Pedro Munhoz,Brett Johns,Bantamweight,R,https://www.ufcstats.com/fight-details/c8a9d3917d77ede2
d2f6b87189908088,03b1e846b09f721d,6fd953151d981979,9673a497a9da119a,JJ Aldrich,Polyana Viana,Women's Strawweight,R,https://www.ufcstats.com/fight-details/d2f6b87189908088
de32c5a78aaf89e9,03b1e846b09f721d,c849740a3ff51931,d8c7c61b176e3994,TJ Dillashaw,Cody Garbrandt,Bantamweight,R,https://www.ufcstats.com/fight-details/de32c5a78aaf89e9
e57a78a422439774,03b1e846b09f721d,5987b2458f4b5290,cc1a8b4b38b92c6d,Ricky Simon,Montel Jackson,Bantamweight,R,https://www.ufcstats.com/fight-details/e57a78a422439774
e85e83ab4e60e768,03b1e846b09f721d,0d62719b1dcf7c40,5b8ba8f5512893b1,Sheymon Moraes,Matt Sayles,Featherweight,R,https://www.ufcstats.com/fight-details/e85e83ab4e60e768
f2ca358ea9bec156,03b1e846b09f721d,056c493bbd76a918,8a304bfd6bf04a57,Henry Cejudo,Demetrious Johnson,Flyweight,R,https://www.ufcstats.com/fight-details/f2ca358ea9bec156
1d9f862a47540785,03da33a102d9a45f,df1eb4354d18a906,98a6b2361045898f,Scott Holtzman,Dong Hyun Ma,Lightweight,R,https://www.ufcstats.com/fight-details/1d9f862a47540785
326de7f7ec9e7035,03da33a102d9a45f,d7338bcb141abd2c,3cf66c62d9069f43,Antonina Shevchenko,Lucie Pudilova,Women's Flyweight,R,https://www.ufcstats.com/fight-details/326de7f7ec9e7035
60162c95d921d1ae,03da33a102d9a45f,67c1d46f4ed16f9e,215a70f073a7b726,Matt Schnell,Jordan Espinosa,Flyweight,R,https://www.ufcstats.com/fight-details/60162c95d921d1ae
94560d1dc6248347,03da33a102d9a45f,7559395ad833c074,26e3f3928b1891d9,Miranda Granger,Hannah Goldy,Women's Flyweight,R,https://www.ufcstats.com/fight-details/94560d1dc6248347
cd6b799ec79c489a,03da33a102d9a45f,8667caa0451d245b,025f0b1b58fbad01,Kennedy Nzechukwu,Darko Stosic,Light Heavyweight,R,https://www.ufcstats.com/fight-details/cd6b799ec79c489a
dbbd17b6995f014b,03da33a102d9a45f,b7b84ccd221be298,ae7fe94f117f98cf,Nasrat Haqparast,Joaquim Silva,Lightweight,R,https://www.ufcstats.com/fight-details/dbbd17b6995f014b
dc49373c52eedaa3,03da33a102d9a45f,6ac9bc2953c47345,b27a1fcb56a3035a,Gerald Meerschaert,Trevin Giles,Middleweight,R,https://www.ufcstats.com/fight-details/dc49373c52eedaa3
e139628170777bef,03da33a102d9a45f,dc9572dd6ec74859,f2925e6db404bf1d,Colby Covington,Robbie Lawler,Welterweight,R,https://www.ufcstats.com/fight-details/e139628170777bef
e3acb789f7dcd34c,03da33a102d9a45f,729d4bd5a6cd0a97,82cbb809d5ee565c,Lauren Murphy,Mara Romero Borella,Women's Flyweight,R,https://www.ufcstats.com/fight-details/e3acb789f7dcd34c
